Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.","The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Other,Laptop,3-6,6-9,Uncertain,Strongly Agree,Agree,Uncertain,Agree,Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Uncertain	","Agree	","Uncertain	","Agree	",Agree,Agree,Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Uncertain,Agree,Agree,Agree,Uncertain,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,6-9,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Female,Third/Junior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,3-6,6-9,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,Second/ Sophomore,18-24,60-69 / 2-2.9,Mobile phone,Mobile phone,1-3 ,3-6,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,"Agree	",Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,9-12,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,+90 / +3.5,Laptop,Mobile phone,1-3 ,3-6,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,First/Freshman,18-24,80-89 / 3-3.49,Laptop,Laptop,3-6,6-9,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Personal Computer,1-3 ,3-6,Agree,Strongly Agree,Uncertain,Agree,Uncertain,Uncertain,Disagree,Agree,Agree,Strongly Agree,"Agree	","Agree	","Uncertain	","Agree	",Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Agree,Agree,Uncertain
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Personal Computer,6-9,9-12,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Uncertain,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,6-9,Uncertain,Uncertain,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,First/Freshman,18-24,+90 / +3.5,Mobile phone,Laptop,3-6,9-12,Uncertain,Strongly Agree,Agree,Uncertain,Agree,Strongly Disagree,Disagree,Strongly Agree,Uncertain,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain
Female,Fourth/Senior,18-24,60-69 / 2-2.9,Laptop,Mobile phone,9-12,+12,Disagree,Strongly Agree,Uncertain,Agree,Uncertain,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Agree,Agree,Uncertain
Female,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Disagree,"Uncertain	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree
Female,First/Freshman,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Uncertain,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Female,Second/ Sophomore,18-24,60-69 / 2-2.9,Mobile phone,Mobile phone,1-3 ,3-6,Disagree,Strongly Agree,Uncertain,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,3-6,6-9,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Uncertain,Uncertain,Agree,Agree,Uncertain,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	","Agree	","Agree	","Uncertain	",Agree,Agree,Strongly Agree,Agree,Uncertain,Agree,Agree,Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Uncertain
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Uncertain,Uncertain,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	","Agree	",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Laptop,Mobile phone,1-3 ,6-9,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Male,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Laptop,Laptop,1-3 ,1-3 ,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,"Agree	","Agree	","Uncertain	","Agree	",Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree
Male,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Disagree,Agree,Uncertain,Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Agree,Strongly Agree,Disagree,"Agree	","Agree	","Uncertain	",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Uncertain
Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,"Agree	","Agree	",Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree
Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Uncertain,Agree,Uncertain,Uncertain,Agree,Uncertain,Strongly Agree,"Agree	","Agree	","Uncertain	","Uncertain	",Agree,Strongly Agree,Agree,Uncertain,Uncertain,Disagree,Agree,Strongly Disagree
Female,First/Freshman,+30,80-89 / 3-3.49,Laptop,Laptop,6-9,9-12,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Disagree,Strongly Agree,Uncertain,Strongly Agree,"Agree	","Agree	",Disagree,"Agree	",Agree,Strongly Agree,Agree,Uncertain,Agree,Agree,Uncertain,Strongly Disagree
Female,Fourth/Senior,25-30,80-89 / 3-3.49,Laptop,Laptop,1-3 ,9-12,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Disagree,Strongly Agree,"Uncertain	","Uncertain	",Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Strongly Agree,Uncertain,Disagree,Uncertain
